ID,Name,V(λ) Reflectance,M(λ) Reflectance,M/P Ratio,L*,a*,b*,R_reflectance,G_reflectance,B_reflectance,Specularity,Roughness
00233,"Dupont Light Brown 103","","","0.52","51.96","9.75","30.59","33.01%","17.65%","6.41%","0.00%","0.00"
00234,"Dupont Desaturated Yellow 104","","","0.76","79.48","-2.66","23.58","63.69%","55.83%","31.89%","0.00%","0.00"
00235,"Dupont White 105","","","0.93","88.01","-1.97","7.21","73.71%","72.58%","62.43%","0.00%","0.00"
00236,"Dupont White 106","","","0.97","94.22","-2.00","5.04","86.07%","86.49%","78.08%","0.00%","0.00"
00237,"Dupont White 107","","","0.99","93.05","-2.25","2.60","81.25%","84.01%","79.10%","0.00%","0.00"
00238,"Dupont White Blue 108","","","1.10","87.96","-5.58","-3.75","61.30%","74.63%","77.16%","0.00%","0.00"
00239,"Dupont Desaturated White Blue 109","","","1.02","76.60","-2.07","-0.66","48.10%","51.62%","51.55%","0.00%","0.00"
00240,"Dupont Dark Blue Grey 110","","","1.05","37.88","-2.83","-0.84","8.76%","10.37%","10.32%","0.00%","0.00"
00241,"Dupont White 111","","","0.99","92.10","-1.98","3.25","80.01%","81.68%","76.09%","0.00%","0.00"
00242,"Dupont White 112","","","1.00","89.60","-2.35","2.06","73.25%","76.40%","72.47%","0.00%","0.00"
00243,"Dupont White 113","","","1.06","89.10","-2.74","-1.96","68.91%","75.72%","77.11%","0.00%","0.00"
00244,"Dupont Dirty White 114","","","0.96","65.09","-2.64","3.79","33.27%","34.75%","31.01%","0.00%","0.00"
00245,"Dupont Very Dark Blue 115","","","2.48","5.07","4.40","-15.05","0.29%","0.51%","1.87%","0.00%","0.00"
00246,"Dupont Off White 116","","","0.94","93.53","-1.96","7.78","86.38%","84.68%","72.64%","0.00%","0.00"
00247,"Dupont White 117","","","0.99","90.20","-3.34","3.43","73.89%","78.08%","71.77%","0.00%","0.00"
00248,"Dupont Dirty White 118","","","0.98","74.53","-2.83","4.35","46.48%","48.31%","43.03%","0.00%","0.00"
00249,"Dupont Desaturated Blue 119","","","1.09","53.87","-2.62","-3.52","19.04%","22.46%","24.09%","0.00%","0.00"
00250,"Dupont Midnight Black 120","","","1.16","3.07","0.01","-1.31","0.29%","0.34%","0.44%","0.00%","0.00"
00251,"Munsell 10Yr 8/10","","","0.37","79.45","9.35","63.69","90.97%","50.20%","6.56%","0.00%","0.00"
00252,"Munsell N 2.5","","","1.03","17.68","0.18","-0.80","2.42%","2.44%","2.57%","0.00%","0.00"
00253,"Munsell Mcc Magenta (2.5Rp 5/12)","","","1.03","49.45","47.77","-19.25","45.20%","8.54%","31.02%","0.00%","0.00"
00254,"Munsell 5Y 8/10","","","0.42","79.90","-6.48","74.55","74.05%","56.77%","2.09%","0.00%","0.00"
00255,"Munsell 2.5Yr 5/6","","","0.46","49.76","20.14","26.29","36.47%","13.93%","6.97%","0.00%","0.00"
00256,"Munsell N9.5","","","1.01","95.06","-0.81","0.48","86.75%","88.14%","86.99%","0.00%","0.00"
00257,"Munsell Mcc Cyan (5B 5/8)","","","2.00","51.51","-18.39","-25.77","0.11%","23.68%","38.18%","0.00%","0.00"
00258,"Munsell 10Rp 5/12","","","0.59","50.03","52.21","7.73","57.71%","7.12%","15.05%","0.00%","0.00"
00259,"Munsell 5R 5/12","","","0.40","48.59","52.11","24.94","58.06%","6.14%","7.29%","0.00%","0.00"
00260,"Munsell 10B 6/10","","","1.96","62.56","-10.15","-36.62","5.00%","35.03%","68.46%","0.00%","0.00"
00261,"Munsell 10G 7/8","","","1.24","72.88","-37.90","6.96","10.98%","55.84%","37.60%","0.00%","0.00"
00262,"Munsell N 4.0","","","1.01","40.11","-0.26","-0.47","11.11%","11.36%","11.50%","0.00%","0.00"
00263,"Munsell Mcc Bluesky (4.3Pb 4.95/5.5)","","","1.49","51.63","0.46","-23.28","12.29%","20.38%","36.39%","0.00%","0.00"
00264,"Munsell Mcc Foliage (6.7Gy 4.2/4.1)","","","0.67","42.67","-17.20","26.67","9.57%","14.86%","3.86%","0.00%","0.00"
00265,"Munsell 7.5R 4/12","","","0.32","39.74","45.32","29.42","38.32%","3.82%","2.99%","0.00%","0.00"
00266,"Munsell 7.5Yr 6/4","","","0.64","60.89","7.40","21.50","41.78%","26.74%","15.42%","0.00%","0.00"
00267,"Munsell N 5.5","","","1.02","56.03","-0.43","-0.84","23.38%","24.06%","24.50%","0.00%","0.00"
00268,"Munsell 10Y 5/6","","","0.47","50.41","-10.97","42.37","20.02%","20.04%","2.46%","0.00%","0.00"
00269,"Munsell Mcc Blueflower (9.7Pb 5.47/6.7)","","","1.48","55.76","12.74","-26.60","22.86%","21.71%","45.45%","0.00%","0.00"
00270,"Munsell 2.5R 6/12","","","0.56","59.03","46.97","15.19","73.51%","14.17%","18.05%","0.00%","0.00"
00271,"Munsell 5Yr 7/10","","","0.36","69.36","22.98","50.43","79.80%","31.24%","7.43%","0.00%","0.00"
00272,"Munsell N 8.25","","","1.02","83.34","-0.56","-1.08","61.39%","63.08%","64.16%","0.00%","0.00"
00273,"Munsell 10Bg 8/4","","","1.22","82.09","-17.01","-7.24","34.49%","67.30%","69.43%","0.00%","0.00"
00274,"Munsell 10Pb 8/4","","","1.18","80.83","6.07","-15.24","56.63%","56.57%","78.35%","0.00%","0.00"
00275,"Munsell 10Y 8/10","","","0.49","79.88","-15.81","73.82","62.73%","60.09%","2.16%","0.00%","0.00"
00276,"Munsell 2.5Yr 6/14","","","0.22","59.08","36.81","63.98","71.80%","16.52%","0.49%","0.00%","0.00"
00277,"Munsell N3.0","","","1.01","30.61","-0.12","-0.30","6.41%","6.50%","6.57%","0.00%","0.00"
00278,"Munsell 2.5Yr 5/4","","","0.59","49.81","13.89","17.66","30.87%","15.33%","10.04%","0.00%","0.00"
00279,"Munsell 10P 8/4","","","1.05","80.41","12.04","-7.64","68.74%","53.06%","67.23%","0.00%","0.00"
00280,"Munsell 10Gy 5/8","","","0.83","51.40","-36.03","34.18","6.71%","24.96%","4.64%","0.00%","0.00"
00281,"Munsell 7.5R 3/4","","","0.61","29.80","18.52","10.63","13.19%","4.31%","3.76%","0.00%","0.00"
00282,"Munsell N4.75","","","1.03","48.98","-0.52","-1.35","16.93%","17.70%","18.31%","0.00%","0.00"
00283,"Munsell 5R 4/14","","","0.30","37.22","58.47","25.35","41.95%","0.70%","3.25%","0.00%","0.00"
00284,"Munsell 10B 3/6","","","2.24","30.51","-3.09","-23.48","1.48%","7.06%","15.05%","0.00%","0.00"
00285,"Munsell 5Rp 7/8","","","0.92","69.88","30.76","-4.84","72.16%","30.65%","45.89%","0.00%","0.00"
00286,"Munsell 7.5 Pb 6/8","","","1.56","60.94","11.10","-31.96","24.08%","27.59%","59.93%","0.00%","0.00"
00287,"Munsell 5Pb 4/10","","","2.45","41.06","6.93","-41.77","2.87%","11.97%","37.87%","0.00%","0.00"
00288,"Munsell N 2.0","","","1.05","18.81","-0.24","-1.13","2.58%","2.72%","2.88%","0.00%","0.00"
00289,"Munsell 7.5R 5/12","","","0.34","58.30","45.98","35.50","75.27%","13.54%","8.15%","0.00%","0.00"
00290,"Munsell 5Gy 8/10","","","0.57","80.31","-31.27","70.46","45.47%","66.18%","3.29%","0.00%","0.00"
00291,"Munsell Mcc N5.0 (N 5/ )","","","1.01","51.32","-0.27","-0.67","19.20%","19.61%","19.94%","0.00%","0.00"
00292,"Munsell 5Bg 5/8","","","1.63","52.71","-33.63","-4.57","0.00%","26.70%","23.33%","0.00%","0.00"
00293,"Munsell 10Gy 6/10","","","0.77","60.98","-42.50","42.36","9.73%","37.39%","5.68%","0.00%","0.00"
00294,"Munsell N 3.5","","","1.03","35.99","0.06","-1.36","8.80%","9.02%","9.48%","0.00%","0.00"
00295,"Munsell 7.5Y 9/6","","","0.69","90.74","-10.04","45.74","86.90%","80.48%","26.02%","0.00%","0.00"
00296,"Munsell 7.5Yr 4/4","","","0.49","40.15","9.83","23.89","19.30%","9.72%","3.94%","0.00%","0.00"
00297,"Munsell 5Y 8.5/12","","","0.40","85.38","-6.50","85.51","89.14%","66.85%","0.00%","0.00%","0.00"
00298,"Munsell Mcc Blue (7.5Pb 2.9/12.7)","","","2.97","30.43","23.84","-49.56","3.05%","4.98%","30.50%","0.00%","0.00"
00299,"Munsell 2.5Y 8/2","","","0.82","80.79","-1.84","14.36","63.19%","58.18%","42.24%","0.00%","0.00"
00300,"Munsell N 7.25","","","1.02","73.32","-0.29","-0.99","44.85%","45.79%","46.67%","0.00%","0.00"
00301,"Munsell 10R 6/12","","","0.27","58.45","42.75","47.89","74.34%","14.45%","4.14%","0.00%","0.00"
00302,"Munsell Mcc Lightskin (2.2Yr 6.47/4.1)","","","0.80","66.21","13.30","17.26","54.65%","31.25%","22.60%","0.00%","0.00"
00303,"Munsell 2.5G 5/10","","","1.03","52.19","-48.69","28.39","0.30%","27.63%","6.68%","0.00%","0.00"
00304,"Munsell 5P 5/10","","","1.39","50.54","30.91","-31.06","28.99%","13.52%","42.08%","0.00%","0.00"
00305,"Munsell 5R 4/12","","","0.36","38.64","54.59","22.38","41.58%","1.82%","4.23%","0.00%","0.00"
00306,"Munsell Mcc Darkskin (3Yr 3.7/3.2)","","","0.64","37.68","11.52","14.36","16.83%","8.30%","5.46%","0.00%","0.00"
00307,"Munsell 10Yr 7/12","","","0.26","70.07","12.31","73.90","73.18%","35.37%","0.00%","0.00%","0.00"
00308,"Munsell 2.5 Pb 5/10","","","2.21","51.81","-1.57","-40.16","3.54%","21.56%","52.72%","0.00%","0.00"
00309,"Munsell 5G 5/6","","","1.04","51.50","-29.60","12.55","6.10%","24.44%","12.84%","0.00%","0.00"
00310,"Munsell 7.5Rp 4/10","","","0.71","39.08","44.50","-1.86","32.59%","4.09%","11.83%","0.00%","0.00"
00311,"Munsell N 6.25","","","1.01","63.72","-0.40","-0.80","31.80%","32.59%","33.11%","0.00%","0.00"
00312,"Munsell 5Pb 3/6","","","2.16","31.42","4.27","-28.43","2.81%","6.88%","18.24%","0.00%","0.00"
00313,"Munsell 2.5Pb 8/4","","","1.25","81.05","-2.52","-15.36","45.74%","60.33%","78.83%","0.00%","0.00"
00314,"Munsell 5G 3/4","","","1.12","31.81","-14.47","5.08","3.43%","8.21%","5.53%","0.00%","0.00"
00315,"Rock 1","","","0.72","40.26","7.93","12.03","17.00%","10.18%","7.17%","0.00%","0.00"
00316,"Rock 2","","","0.74","41.74","6.04","12.07","17.32%","11.30%","7.82%","0.00%","0.00"
00317,"Rock 3","","","0.95","63.22","-0.66","3.62","32.62%","31.91%","29.01%","0.00%","0.00"
00318,"Rock 4","","","0.85","63.70","0.41","12.07","37.04%","31.98%","23.45%","0.00%","0.00"
00319,"Rock 5","","","0.80","42.63","5.01","8.74","16.99%","12.05%","9.42%","0.00%","0.00"
00320,"Rock 6","","","0.94","54.98","-2.51","5.39","22.76%","23.29%","19.54%","0.00%","0.00"
00321,"Rock 7","","","0.74","51.62","8.21","13.64","28.46%","17.94%","12.79%","0.00%","0.00"
00322,"Rock 8","","","0.83","48.72","0.13","10.63","19.89%","17.14%","12.18%","0.00%","0.00"
00323,"Rock 9","","","0.94","37.01","-1.17","3.40","9.65%","9.63%","8.36%","0.00%","0.00"
00324,"Rock 10","","","0.74","42.76","1.47","14.70","16.34%","12.57%","7.40%","0.00%","0.00"
00325,"Rock 11","","","0.83","49.28","-1.18","11.28","19.76%","17.81%","12.24%","0.00%","0.00"
00326,"Rock 12","","","0.93","48.59","0.10","4.60","18.44%","17.15%","14.90%","0.00%","0.00"
00327,"Rock 13","","","0.86","65.01","0.58","10.72","38.53%","33.58%","25.72%","0.00%","0.00"
00328,"Rock 14","","","0.74","53.31","7.16","14.17","29.82%","19.58%","13.67%","0.00%","0.00"
00329,"Pine Needles","","","0.78","39.22","-8.01","14.43","9.83%","11.57%","5.90%","0.00%","0.00"
00330,"Silver Maple Leaf","","","0.59","36.08","-16.55","25.99","6.48%","10.50%","2.27%","0.00%","0.00"
00331,"Maple Dark Green Leaf","","","0.72","32.65","-9.24","14.45","6.24%","8.09%","3.65%","0.00%","0.00"
00332,"Bush Leaf","","","0.50","46.21","-19.13","39.85","12.26%","17.73%","1.91%","0.00%","0.00"
00333,"Tree Leaf","","","0.52","35.36","-17.75","32.14","6.25%","10.16%","1.17%","0.00%","0.00"
00334,"Tree Leaf 2","","","0.63","39.36","-10.17","21.52","9.93%","11.83%","4.10%","0.00%","0.00"
00335,"Weed Leaf","","","0.77","46.62","-10.73","15.80","13.41%","17.12%","8.79%","0.00%","0.00"
00336,"Red Bush Leaf","","","0.73","26.34","7.48","7.91","7.55%","4.22%","3.27%","0.00%","0.00"
00337,"Red Maple Leaf","","","0.86","22.98","6.06","2.72","5.35%","3.38%","3.31%","0.00%","0.00"
00338,"Bush Fern Like Leaf","","","0.57","29.12","-15.80","23.63","3.94%","6.93%","1.33%","0.00%","0.00"
00339,"Grass","","","0.57","32.55","-6.08","22.96","7.88%","7.70%","2.09%","0.00%","0.00"
00340,"Soil","","","0.78","20.55","3.01","6.90","4.19%","2.92%","2.08%","0.00%","0.00"
00341,"Locust Leaf","","","0.55","38.58","-16.41","29.66","8.00%","11.97%","2.17%","0.00%","0.00"
00342,"Vine Leaf","","","0.56","44.17","-13.57","29.79","12.39%","15.47%","3.60%","0.00%","0.00"
00343,"Oak Leaf","","","0.62","28.67","-13.63","19.07","4.01%","6.60%","1.88%","0.00%","0.00"
00344,"Weed Tree Leaf","","","0.69","33.34","-11.72","16.54","5.98%","8.64%","3.41%","0.00%","0.00"
00345,"Daisy White Petals","","","0.95","89.89","-3.88","8.84","75.86%","77.37%","63.86%","0.00%","0.00"
00346,"Daisy Yellow Center","","","0.24","60.56","5.34","65.31","46.72%","26.31%","0.00%","0.00%","0.00"
00347,"Buttercup Flower","","","0.28","63.69","-1.00","67.49","46.84%","31.40%","0.00%","0.00%","0.00"
00348,"Small Magenta Flower","","","0.90","76.23","1.33","11.06","57.12%","49.35%","39.04%","0.00%","0.00"
00349,"Small Magenta Flower (From Vine)","","","1.19","32.43","28.68","-16.02","15.11%","4.35%","13.26%","0.00%","0.00"
00350,"Bark","","","0.92","45.42","0.94","4.53","16.33%","14.61%","12.75%","0.00%","0.00"
00351,"Bark 2","","","0.90","38.62","-0.03","4.98","11.28%","10.37%","8.63%","0.00%","0.00"
00352,"Bark Pine","","","0.86","34.68","1.63","6.37","9.84%","8.09%","6.40%","0.00%","0.00"
00353,"Bark 3","","","0.77","52.02","4.10","13.61","26.19%","19.09%","13.03%","0.00%","0.00"
00354,"Bark 4","","","0.77","39.05","2.23","10.46","13.34%","10.26%","7.07%","0.00%","0.00"
00355,"Marigold Orange","","","0.11","57.02","29.34","64.29","60.45%","16.90%","0.00%","0.00%","0.00"
00356,"Marigold Yellow","","","0.29","68.07","4.20","71.58","60.17%","35.33%","0.00%","0.00%","0.00"
00357,"Pink Flower (Plant Had Red Leaves)","","","0.79","52.27","37.49","-0.20","47.52%","12.26%","20.97%","0.00%","0.00"
00358,"Red Flower (Plant Had Red Leaves)","","","0.25","36.21","52.54","28.02","37.08%","1.48%","2.48%","0.00%","0.00"
00359,"Asphalt","","","0.91","34.37","0.39","4.40","8.96%","8.09%","6.83%","0.00%","0.00"
00360,"Dark Blue Jeans","","","1.41","32.79","0.41","-14.48","5.11%","7.61%","12.67%","0.00%","0.00"
00361,"White Gray Wool Sock","","","0.92","72.46","-0.83","7.57","46.87%","44.33%","37.11%","0.00%","0.00"
00362,"Green Aqua Sock","","","0.75","59.34","-10.98","28.14","26.85%","29.22%","10.88%","0.00%","0.00"
00363,"Blue Magenta Rubber (Flo Ho Flip Flop)","","","1.66","44.86","4.24","-24.94","9.61%","14.37%","29.37%","0.00%","0.00"
00364,"Synthetic Cloth Blue (With Surfing Harness)","","","2.63","47.69","-6.83","-37.79","0.00%","18.73%","43.70%","0.00%","0.00"
00365,"Synthetic Cloth Red (With Surfing Harness)","","","0.27","30.59","54.41","24.36","29.81%","0.00%","1.90%","0.00%","0.00"
00366,"Dark Blue Towel","","","1.60","23.94","6.74","-17.56","3.45%","3.80%","8.70%","0.00%","0.00"
00367,"Red Towel","","","0.54","33.16","37.19","6.19","23.10%","3.16%","6.08%","0.00%","0.00"
00368,"Light Blue Towel","","","1.76","48.20","-7.20","-24.77","5.31%","18.78%","33.13%","0.00%","0.00"
00369,"Sneakers Orange","","","0.33","33.21","44.94","15.25","27.83%","1.99%","4.01%","0.00%","0.00"
00370,"Sneakers White (Dirty Leather)","","","0.90","81.47","-0.95","10.71","63.86%","59.21%","47.06%","0.00%","0.00"
00371,"Brown Leather (Bass Saddle Shoe)","","","0.61","37.07","8.09","18.15","15.33%","8.39%","4.29%","0.00%","0.00"
00372,"Brown Suede (Bass Saddle Shoe)","","","0.67","38.58","4.65","17.35","14.95%","9.62%","4.97%","0.00%","0.00"
00373,"Red Rubber (Bass Saddle Shoe)","","","0.62","37.40","18.63","16.84","20.06%","7.19%","4.79%","0.00%","0.00"
00374,"Dark Blue Cotton Sweat Pants","","","1.65","21.71","3.75","-16.50","2.37%","3.36%","7.29%","0.00%","0.00"
00375,"Red Letters On T Shirt","","","0.37","41.18","50.83","23.48","43.46%","3.34%","4.76%","0.00%","0.00"
00376,"Green Snow Hat","","","0.60","65.37","-31.50","50.78","22.24%","41.18%","4.65%","0.00%","0.00"
00377,"Light Green Towel","","","1.13","74.57","-12.61","-1.16","33.26%","51.76%","48.59%","0.00%","0.00"
00378,"Light Blue Towel 2","","","1.35","71.41","0.07","-21.01","31.73%","43.70%","66.40%","0.00%","0.00"
00379,"Banana Yellow (Just Turned)","","","0.52","77.47","-7.00","51.17","63.43%","53.16%","11.09%","0.00%","0.00"
00380,"Wheat Bread","","","0.71","68.93","3.71","25.08","52.14%","37.37%","19.85%","0.00%","0.00"
00381,"Wheat Bread Brust","","","0.49","44.70","14.22","30.40","26.93%","11.64%","3.86%","0.00%","0.00"
00382,"Pancake","","","0.53","39.01","12.40","24.67","19.54%","8.75%","3.45%","0.00%","0.00"
00383,"Ripe Brown Banana","","","0.75","29.89","6.15","8.99","9.05%","5.56%","4.06%","0.00%","0.00"
00384,"Highlighter Pen (Plastic)","","","0.55","83.62","-30.57","73.98","52.60%","72.59%","3.21%","0.00%","0.00"
00385,"Swiss Army Knife (Plastic)","","","0.20","24.23","46.78","27.39","19.39%","0.00%","0.66%","0.00%","0.00"
00386,"Green Key Ring (Plastic)","","","0.86","57.29","-56.12","49.88","1.40%","34.65%","2.04%","0.00%","0.00"
00387,"Green Sport Shirt","","","1.62","42.58","-29.87","-1.88","0.00%","16.64%","13.51%","0.00%","0.00"
00388,"White Sport Shirt","","","1.01","86.78","1.20","-1.49","70.34%","69.12%","71.63%","0.00%","0.00"
00389,"White T Shirt","","","1.04","90.62","0.73","-3.70","76.20%","77.53%","83.17%","0.00%","0.00"
00390,"Faded Jeans","","","1.24","56.29","-0.47","-13.57","19.09%","24.70%","34.32%","0.00%","0.00"
00391,"Purple Ez Rig (Plastic)","","","1.69","45.60","26.64","-37.49","18.30%","11.39%","40.70%","0.00%","0.00"
00392,"Leather Brown Belt","","","0.75","23.60","6.01","6.90","5.91%","3.53%","2.75%","0.00%","0.00"
00393,"Black Backpack","","","0.99","19.55","0.26","0.93","2.99%","2.86%","2.73%","0.00%","0.00"
00394,"Dark Blue Bandana","","","1.67","18.49","13.05","-19.50","3.04%","2.09%","6.73%","0.00%","0.00"
00395,"Skin Caucasian (Light)","","","0.73","64.54","17.62","19.91","56.73%","27.97%","19.44%","0.00%","0.00"
00396,"Skin East Indian (Dark)","","","0.65","48.50","11.25","21.64","28.34%","14.82%","7.85%","0.00%","0.00"
00397,"Hair Black","","","0.95","12.84","0.36","1.30","1.64%","1.52%","1.40%","0.00%","0.00"
00398,"Skin East Indian (Light)","","","0.68","55.04","13.16","22.54","38.18%","19.64%","11.06%","0.00%","0.00"
00399,"Hair Black 2","","","0.96","12.69","-0.04","0.97","1.56%","1.51%","1.41%","0.00%","0.00"
00400,"Skin Caucasian","","","0.77","62.64","13.82","18.33","49.35%","27.00%","18.70%","0.00%","0.00"
00401,"Skin Caucasian 2","","","0.73","57.07","12.83","19.96","40.27%","21.61%","13.54%","0.00%","0.00"
00402,"Skin Caucasian (Light) 2","","","0.77","64.01","12.87","18.47","50.80%","28.78%","19.79%","0.00%","0.00"
00403,"Skin Caucasian (Light) 3","","","0.81","69.56","10.57","16.74","57.67%","36.31%","26.31%","0.00%","0.00"
00404,"Hair Red","","","0.54","38.76","10.51","24.24","18.41%","8.89%","3.46%","0.00%","0.00"
00405,"Skin Caucasian (Dark)","","","0.68","53.22","11.61","22.20","34.51%","18.43%","10.12%","0.00%","0.00"
00406,"Skin East Indian (Light) 2","","","0.70","53.38","8.27","20.22","31.97%","19.30%","11.00%","0.00%","0.00"
00407,"Skin African American","","","0.75","67.12","9.46","20.36","53.38%","33.43%","21.35%","0.00%","0.00"
00408,"Skin Asian","","","0.72","58.08","13.31","20.78","42.33%","22.43%","13.84%","0.00%","0.00"
00409,"Skin Caucasian 3","","","0.74","54.27","10.12","18.79","34.11%","19.71%","12.20%","0.00%","0.00"
00410,"Skin Caucasian 4","","","0.80","63.78","14.20","15.04","50.64%","28.23%","21.76%","0.00%","0.00"
00411,"Hair Brown","","","0.75","28.05","4.28","9.95","7.67%","5.04%","3.33%","0.00%","0.00"
00412,"Skin Caucasian 5","","","0.75","54.96","17.24","16.88","39.97%","18.75%","13.64%","0.00%","0.00"
00413,"Hair Gray Black","","","0.83","17.38","2.08","4.23","2.97%","2.26%","1.83%","0.00%","0.00"
00414,"Skin African American 2","","","0.75","24.68","6.17","7.91","6.47%","3.82%","2.84%","0.00%","0.00"
00415,"Skin Caucasian 6","","","0.80","61.51","10.95","15.99","44.31%","26.61%","19.08%","0.00%","0.00"
00416,"Hair Brown 2","","","0.54","23.86","6.87","18.86","6.98%","3.48%","1.20%","0.00%","0.00"
00417,"Skin Caucasian (Dark With Makeup)","","","0.69","59.76","12.38","24.05","44.90%","24.25%","13.38%","0.00%","0.00"
00418,"Skin Caucasian 7","","","0.76","60.64","11.14","18.48","43.83%","25.59%","16.93%","0.00%","0.00"
00419,"Skin Caucasian (Dark) 2","","","0.75","48.78","5.44","17.60","24.42%","16.15%","9.41%","0.00%","0.00"
00420,"Skin Caucasian (Light)","","","0.73","64.54","17.62","19.91","56.73%","27.97%","19.44%","0.00%","0.00"
00421,"Skin Caucasian 8","","","0.72","63.72","11.32","21.89","49.82%","28.81%","17.48%","0.00%","0.00"
00422,"Skin Caucasian (With Makeup)","","","0.73","57.86","13.94","18.26","41.92%","22.11%","14.96%","0.00%","0.00"
00423,"Hair Blonde","","","0.68","38.47","4.53","16.43","14.70%","9.59%","5.16%","0.00%","0.00"
00424,"Skin African American3","","","0.82","26.30","3.42","6.50","6.35%","4.54%","3.50%","0.00%","0.00"
00425,"Skin Caucasian 9","","","0.68","60.73","11.98","24.33","46.15%","25.34%","13.91%","0.00%","0.00"
00426,"Skin Caucasian 10","","","0.73","56.95","11.51","19.77","39.01%","21.81%","13.53%","0.00%","0.00"
00427,"Skin Caucasian 11","","","0.72","57.11","14.36","19.96","41.55%","21.28%","13.59%","0.00%","0.00"
00428,"Skin Asian 2","","","0.74","61.50","13.35","19.16","47.29%","25.89%","17.26%","0.00%","0.00"
00429,"Skin Caucasian (With Makeup) 2","","","0.70","63.18","13.10","20.83","50.28%","27.74%","17.68%","0.00%","0.00"
00430,"Skin Caucasian 12","","","0.77","57.01","14.39","16.73","40.67%","21.25%","15.13%","0.00%","0.00"
00431,"Skin Caucasian (Arm)","","","0.81","64.33","7.46","16.87","45.78%","30.70%","20.99%","0.00%","0.00"
00432,"Wood Pine","","","0.62","66.06","7.13","32.12","52.47%","32.53%","13.59%","0.00%","0.00"
00433,"Wood Pine Treated","","","0.74","62.86","-0.26","24.19","38.79%","30.86%","15.34%","0.00%","0.00"
00434,"Wood Maple","","","0.72","65.78","5.16","22.71","47.64%","32.96%","18.61%","0.00%","0.00"
00435,"Wood Oak","","","0.68","63.34","4.82","26.12","44.40%","30.05%","14.74%","0.00%","0.00"
00436,"Bamboo","","","0.59","64.41","6.32","36.35","49.85%","30.70%","10.46%","0.00%","0.00"
00437,"Wood Pine (Whiter)","","","0.60","70.24","5.47","38.41","59.98%","38.30%","13.19%","0.00%","0.00"
00438,"Wood Worm","","","0.56","47.86","12.95","25.64","29.25%","14.00%","6.28%","0.00%","0.00"
00439,"Wood Redwood","","","0.54","50.20","14.48","27.91","33.49%","15.36%","6.57%","0.00%","0.00"
00440,"Wood Walnut","","","0.69","46.52","7.56","17.40","23.32%","14.12%","8.34%","0.00%","0.00"
00441,"Bark Chip I","","","0.80","42.95","3.36","10.68","16.77%","12.47%","8.88%","0.00%","0.00"
00442,"Bark Chip Ii","","","0.78","40.95","4.56","10.96","15.82%","11.05%","7.80%","0.00%","0.00"
00443,"Bark Chip Iii","","","0.65","57.49","5.24","27.31","36.52%","23.65%","10.35%","0.00%","0.00"
00444,"Cucumber","","","0.45","40.73","-19.30","41.54","8.96%","13.62%","0.66%","0.00%","0.00"
00445,"Prune (With Specularities)","","","0.96","20.17","1.22","0.91","3.32%","2.96%","2.88%","0.00%","0.00"
00446,"Corn (Raw)","","","0.49","79.07","0.75","51.48","76.23%","53.08%","12.15%","0.00%","0.00"
00447,"Corn Husk","","","0.58","48.46","-16.03","33.11","14.62%","19.23%","4.09%","0.00%","0.00"
00448,"Apple Yellow Delicious","","","0.45","77.53","-3.23","64.98","70.97%","51.69%","4.85%","0.00%","0.00"
00449,"Kiwi Outside","","","0.53","37.21","5.65","24.31","15.07%","8.72%","2.99%","0.00%","0.00"
00450,"Green Pepper","","","0.43","39.54","-20.21","45.80","8.23%","12.90%","0.00%","0.00%","0.00"
00451,"Peach Skin Yellow","","","0.43","69.10","8.19","52.03","63.48%","35.68%","6.39%","0.00%","0.00"
00452,"Peach Skin Red","","","0.47","42.04","32.70","21.65","33.25%","7.09%","5.34%","0.00%","0.00"
00453,"Lemon Skin","","","0.39","75.96","-1.35","77.88","71.74%","48.33%","0.00%","0.00%","0.00"
00454,"Cabbage","","","0.66","62.51","-15.44","32.99","28.07%","33.94%","10.54%","0.00%","0.00"
00455,"Lettuce","","","0.64","48.29","-14.97","26.90","14.21%","18.99%","5.80%","0.00%","0.00"
00456,"Carrot","","","0.24","59.43","36.44","54.49","71.28%","16.99%","2.60%","0.00%","0.00"
00457,"Pear","","","0.52","62.35","-12.23","46.68","32.91%","32.78%","5.12%","0.00%","0.00"
00458,"Sugar (White)","","","0.98","91.52","-1.01","3.14","80.20%","79.94%","75.03%","0.00%","0.00"
00459,"Bay Leaf","","","0.68","47.54","-5.09","21.51","17.95%","16.90%","7.29%","0.00%","0.00"
00460,"Barley Seeds","","","0.82","74.41","0.37","16.23","54.99%","46.62%","32.04%","0.00%","0.00"
00461,"Lentil Seeds","","","0.64","52.70","4.23","24.07","29.13%","19.48%","9.01%","0.00%","0.00"
00462,"Sesame Seeds","","","0.76","76.15","-0.77","25.40","60.32%","49.48%","26.63%","0.00%","0.00"
00463,"Brown Rice Seeds","","","0.65","68.14","0.12","34.29","49.77%","37.17%","13.80%","0.00%","0.00"
00464,"Sand","","","0.74","65.81","1.27","20.88","43.52%","34.12%","19.69%","0.00%","0.00"
00465,"Almond","","","0.64","68.88","4.22","33.65","54.96%","36.95%","14.75%","0.00%","0.00"
00466,"Walnut","","","0.64","59.60","7.23","27.95","41.23%","25.30%","11.37%","0.00%","0.00"
00467,"Brown Paper Bag","","","0.71","58.45","5.37","20.93","36.54%","24.70%","13.92%","0.00%","0.00"
